Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Pretraining Subsample
auprc,CLMBR_SK,CLMBR,"0.332 [0.208, 0.453]","0.289 [0.184, 0.39]","0.043 [0.015, 0.076]",0.0,0.8
auprc_c,CLMBR_SK,CLMBR,"0.895 [0.847, 0.938]","0.875 [0.821, 0.922]","0.02 [0.01, 0.031]",0.0,0.8
auroc,CLMBR_SK,CLMBR,"0.9 [0.851, 0.941]","0.88 [0.826, 0.928]","0.019 [0.006, 0.034]",0.002,0.8
ece,CLMBR_SK,CLMBR,"0.005 [0.003, 0.009]","0.005 [0.003, 0.009]","0.0 [-0.002, 0.002]",0.94,0.8
auprc,CLMBR_DAPT,CLMBR,"0.33 [0.21, 0.441]","0.289 [0.184, 0.39]","0.039 [0.016, 0.069]",0.0,0.4
auprc_c,CLMBR_DAPT,CLMBR,"0.892 [0.84, 0.939]","0.875 [0.821, 0.922]","0.017 [0.009, 0.025]",0.0,0.4
auroc,CLMBR_DAPT,CLMBR,"0.898 [0.845, 0.944]","0.88 [0.826, 0.928]","0.018 [0.008, 0.026]",0.0,0.4
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.01]","0.005 [0.003, 0.009]","0.001 [-0.001, 0.002]",0.37,0.4
auprc,CLMBR_SK,CLMBR_DAPT,"0.332 [0.208, 0.453]","0.335 [0.213, 0.445]","-0.001 [-0.038, 0.031]",0.936,0.8
auprc_c,CLMBR_SK,CLMBR_DAPT,"0.895 [0.847, 0.938]","0.894 [0.846, 0.939]","0.0 [-0.011, 0.012]",0.954,0.8
auroc,CLMBR_SK,CLMBR_DAPT,"0.9 [0.851, 0.941]","0.899 [0.85, 0.941]","0.0 [-0.014, 0.016]",0.956,0.8
ece,CLMBR_SK,CLMBR_DAPT,"0.005 [0.003, 0.009]","0.006 [0.003, 0.01]","-0.0 [-0.002, 0.001]",0.924,0.8
auprc,CLMBR_SK,CLMBR_DAPT,"0.282 [0.181, 0.383]","0.313 [0.201, 0.421]","-0.03 [-0.071, 0.005]",0.094,0.1
